uuid,Keywords,label
0,Reactive Oxygen; Oxygen Species; Histone Deacetylase,1
1,Source Printer; Local Texture; Proposed Method; Outperforms State-Of-The-Art; Texture Descriptor,0
2,Dye-Sensitized Solar; Solar Cells; Graphene Oxide,0
3,Immediate Antiretroviral; Health Equity; Equity Approach; Antiretroviral Therapy; Rapid Model,0
4,Phase Noise; Power Dissipation,0
5,Edge Devices; Design Space; Power Embedded; Execution Time; Convolutional Neural,0
6,Protein Expression; Pathway Activation; Eskape Pathogens; Publicly Available; Activation Analysis,1
7,Building Units; Covalent Organic; Scu-C Topology; Drug Delivery,1
8,Objective Detection; Convolutional Neural; Soft Attention; Neural Networks,1
9,Energy Exchange; Domestic Pv-Battery; Utility Grid; Days-Ahead Energy,0
10,A; B,1
11,Photometric Stereo; Numerical Compensation; Compensation Scheme; Estimated Reflectance; Angular Error,0
12,Pseudomonas Aeruginosa; Quorum Sensing,1
13,Median Filtered; Robust Residual; Antiforensic Methods; Compressed Images; Residual Dense,0
14,Pedestrian Detection; Neural Networks; Convolutional Neural; Deep Learning,0
15,Future Orientation; Problem-Based Learning; Perceived Employability; Positively Moderates; Proactive Personality,1
16,Multi-Site Issue; Infant Brain; Iseg-2019 Challenge; Learning-Based Methods,1
17,Wooden Plaques; Inuvialuit Graphic,0
18,Ecological Engineering; Liberal Arts; Social Science; Ecological Engineers,0
19,A; B,1
20,Deep Efficient; End-To-End Reconstruction; Few-View Breast; Image Reconstruction; Efficient End-To-End,1
21,Acupuncture Stimulation; -Acupuncturist Dyad; Neural Synchronization; Prefrontal Cortex; Sham Acupuncture,1
22,Object Skeleton; Contextual Information; Bidirectional Structure; Proposed Msb-Fcn; Multi-Scale Bidirectional,0
23,Nano-Vacuum Triode,0
24,Local Methods; Cost Aggregation; Stereo Matching; Computational Complexity; State-Of-The-Art Local,0
25,Visual Sensing; Robustly Classifying; Classifying House; House Types; Convolutional Neural,0
26,Phosphate Impurity; Hydrometallurgy Method; Hydrometallurgical Recycling; Cathode Materials,1
27,Nps-Treated Rats; Hydropic Degeneration; Ultrastructural Alterations; Human Health; Rats Demonstrated,1
28,Environmental Design; Energy Technology; Design Based; Energy Consumption; Traditional Environmental,0
29,Health Care; Remote Health; Assisted Living; Technological Paradigms; Generation Remote,0
30,Neural Network; Convolutional Neural,0
31,Response Bits; Challenge-Response Pairs,0
32,Shoulder Arthroplasty; Humeral Component,1
33,Chemical Patents; Chemical Information; Information Reconstruction; Near-Drug Space; Structural Images,1
34,Side Effects; Congenital Heart; Heart Disease; Critical Congenital; Birth Weight,1
35,Growth Traits; Additive Genetic; Horro Crossbreds; Holstein Friesian; Daily Gain,1
36,Schiff Bases; Penicillium Chrysogeum; Bacillus Cereus; B3Lyp Method; Candida Albicans,1
37,Side Effects; Adverse Events,1
38,Test Cases; Random Testing; Adaptive Random; Linear Association; Mirror Adaptive,0
39,Activation Loop; Maize Cdka2; Substrate Recognition; Cell Cycle; Classical Mechanism,1
40,Coronavirus Disease; Disease 2019; Acute Exacerbation; Idiopathic Pulmonary; Pulmonary Fibrosis,1
41,Small Mammals; Orientia Tsutsugamushi; Scrub Typhus,1
42,Border Noise; Projection Methods; Page Segmentation; Document Images; Noise Removal,0
43,Group Activity; Activity Recognition; Part Graph,0
44,Rock Hyrax; Amygdaloid Complex; Nuclear Organization; Current Study; Hyrax Amygdaloid,1
45,Model Update; Update Strategy; Correlation Filter; Proposed Model; Adaptive Model,0
46,Hybrid Partial-Constrained; Person Re-Identification; Hybrid Features; Partial-Constrained Learning; Orthogonality Regularization,0
47,Efficiency Indicator; Slurry Fuels; Waste-Based Slurries; Pyrolysis Residue,0
48,Salient Object; Object Detection; Edge Detection; Multi-Scale Global; Saliency Detection,0
49,A; B,1
50,Chronic Pain-Induced; Pain-Induced Depression; Lncrna Xr_351665; Sponging Mir-152-3P; Depression-Like Behaviors,1
51,A; B,0
52,Molecular Epidemiology; Alveolar Echinococcosis; Echinococcus Multilocularis,1
53,Early Breastfeeding; Breastfeeding Practices; Intervention Area; Prelacteal Feeding; Education Intervention,1
54,Atopic Dermatitis; Field Dodder; Persian Medicine; Traditional Persian,1
55,A; B,1
56,Current State-Of-The-Art; Statistical Methods; Proposed Method,0
57,Seawater Desalination; Energy Consumption,0
